TA2017_Nam,TA2017,DLC,Code,Club_Licence,Off_licence,On_licence,Special_Licence,Grand Total,Pop_2013,Pop_2014,Pop_2015,Pop_2016
Territorial authority code Territorial authority name,1,,,,,,,,,,,
Far North District,2,Far North DLC,1,50,76,137,0,263,60600,61000,61300,62000
Whangarei District,3,Whangarei DLC,2,54,51,84,9,198,83700,84400,85900,87600
Kaipara District,11,Kaipara DLC,3,17,31,31,0,79,20500,20700,21100,21700
Thames-Coromandel District,12,Thames-Coromandel DLC,11,33,60,101,0,194,27300,27500,27800,28400
Hauraki District,13,Hauraki DLC,12,20,22,27,1,70,18600,18800,19100,19550
Waikato District,15,Waikato DLC,14,46,37,53,0,136,66500,68000,69500,71200
Matamata-Piako District,16,Matamata-Piako DLC,13,28,24,38,0,90,32900,33300,33600,34100
Hamilton City,17,Hamilton DLC,15,30,69,197,0,296,150200,153000,156800,161200
Waipa District,18,Waipa DLC,16,28,24,60,0,112,48700,49300,50400,51600
Otorohanga District,19,Otorohanga DLC,18,10,6,7,1,24,9590,9650,9720,9980
South Waikato District,20,South Waikato DLC,17,11,12,24,0,47,23200,23300,23500,23800
Waitomo District,21,Waitomo DLC,19,14,14,18,0,46,9340,9400,9530,9660
Taupo District,22,Taupo DLC,20,21,34,107,1,163,34800,35100,35600,36200
Western Bay of Plenty District,23,Tauranga DLC,21,39,71,210,0,320,45500,45900,46800,47800
Tauranga City,24,Western Bay of Plenty DLC,22,21,33,41,0,95,119800,121800,124600,128200
Rotorua District,25,Rotorua DLC,23,33,40,144,0,217,68400,68500,69200,70500
Whakatane District,26,Whakatane DLC,25,31,23,27,4,85,34200,34300,34600,35000
Kawerau District,27,Kawerau DLC,24,4,4,3,0,11,6650,6600,6660,6800
Opotiki District,28,Opotiki DLC,26,2,7,6,2,17,8780,8830,8810,8820
Gisborne District,29,Gisborne DLC,27,30,54,72,0,156,47000,47100,47400,47800
Wairoa District,30,Wairoa DLC,28,6,9,9,1,25,8300,8200,8180,8150
Hastings District,31,Hastings DLC,29,28,79,102,0,209,76700,77400,77900,78600
Napier City,32,Napier DLC,30,30,24,86,0,140,59600,60000,60400,61100
Central Hawke's Bay District,33,Central Hawkes Bay DLC,31,19,13,25,0,57,13250,13250,13450,13600
New Plymouth District,34,New Plymouth DLC,33,50,54,135,0,239,77100,78200,79000,79800
Stratford District,35,Stratford DLC,34,8,10,12,0,30,9210,9260,9220,9300
South Taranaki District,36,South Taranaki DLC,35,27,26,26,4,83,27500,27500,27700,27700
Ruapehu District,37,Ruapehu DLC,32,12,17,43,0,72,12450,12450,12450,12500
Whanganui District,38,Wanganui DLC,36,28,22,47,0,97,43500,43400,43600,43800
Rangitikei District,39,Rangitikei DLC,37,14,11,20,0,45,14550,14600,14700,14800
