Player,Type,Carries,Metres,Av gain,Max Carry
Abdellatif Boutaty,Pick and Go,4,2,0.5,1
Aled De Malmanche,Pick and Go,,,,
Alexandre Flanquart,Pick and Go,,,,
Antoine Burban,Pick and Go,7,19,2.714285714,8
Arthur Coville,Pick and Go,1,,,
Benjamin Epsinal,Pick and Go,,,,
Clement Daguin,Pick and Go,5,6,1.2,4
Craig Burden,Pick and Go,5,54,10.8,39
Djibril Camara,Pick and Go,3,11,3.666666667,9
Emmanuel Felsina,Pick and Go,3,4,1.333333333,2
Etienne Swanepoel,Pick and Go,,,,
Geoffrey Doumayrou,Pick and Go,2,1,0.5,1
Gerhard Mostert,Pick and Go,,,,
Giorgi Melikidze,Pick and Go,3,8,2.666666667,6
Heinke Van der Merwe,Pick and Go,,,,
Hugh Pyle,Pick and Go,6,37,6.166666667,23
Hugo Bonneval,Pick and Go,1,12,12,12
Jean Baptiste De Clercq,Pick and Go,,,,
Jeremy Sinzelle,Pick and Go,5,8,1.6,3
Jonathan Danty,Pick and Go,4,37,9.25,19
Jonathan Ross,Pick and Go,6,8,1.333333333,3
Josaia Raisuqe,Pick and Go,,,,
Jules Plisson,Pick and Go,2,8,4,8
Julien Arias,Pick and Go,8,27,3.375,15
Julien Dupuy,Pick and Go,28,86,3.071428571,16
Karim Qadiri,Pick and Go,,,,
Laurent Panis,Pick and Go,,,,
Laurent Sempere,Pick and Go,4,8,2,6
Mathieu De Giovanni,Pick and Go,,,,
Mathieu Ugena,Pick and Go,1,,,
Meyer Bosman,Pick and Go,,,,
Morne Steyn,Pick and Go,,,,
Pascal Papé,Pick and Go,7,15,2.142857143,5
Patrick Sio,Pick and Go,1,,,
Paul Alo-Emile,Pick and Go,3,1,0.333333333,1
Paul Gabrillagues,Pick and Go,9,18,2,4
Paul Williams,Pick and Go,2,8,4,8
Rabah Slimani,Pick and Go,,,,
Raphael Lakafia,Pick and Go,4,8,2,4
Ratu Ratini,Pick and Go,1,,,
Remi Seneca,Pick and Go,,,,
Remy Bonfils,Pick and Go,6,12,2,4
Sakaria Taulafo,Pick and Go,1,2,2,2
Sekou Macalou,Pick and Go,5,9,1.8,7
Sergio Parisse,Pick and Go,13,32,2.461538462,10
Sylvain Nicolas,Pick and Go,1,2,2,2
Theo Millet,Pick and Go,3,8,2.666666667,6
Waisea Nayacalevu,Pick and Go,5,42,8.4,19
Will Genia,Pick and Go,27,82,3.037037037,15
Willem Alberts,Pick and Go,1,4,4,4
Zurabi Zhvania,Pick and Go,2,4,2,4
Abdellatif Boutaty,One Out Drive,4,3,0.75,3
Aled De Malmanche,One Out Drive,24,33,1.375,5
Alexandre Flanquart,One Out Drive,17,21,1.235294118,8
Antoine Burban,One Out Drive,15,24,1.6,6
Arthur Coville,One Out Drive,,,,
Benjamin Epsinal,One Out Drive,,,,
Clement Daguin,One Out Drive,1,,,
Craig Burden,One Out Drive,6,8,1.333333333,3
Djibril Camara,One Out Drive,3,14,4.666666667,7
Emmanuel Felsina,One Out Drive,25,37,1.48,6
Etienne Swanepoel,One Out Drive,1,,,
Geoffrey Doumayrou,One Out Drive,9,15,1.666666667,8
Gerhard Mostert,One Out Drive,1,,,
Giorgi Melikidze,One Out Drive,4,4,1,3
Heinke Van der Merwe,One Out Drive,25,12,0.48,4
Hugh Pyle,One Out Drive,63,72,1.142857143,7
Hugo Bonneval,One Out Drive,4,29,7.25,17
Jean Baptiste De Clercq,One Out Drive,1,,,
Jeremy Sinzelle,One Out Drive,5,12,2.4,3
Jonathan Danty,One Out Drive,12,24,2,5
Jonathan Ross,One Out Drive,59,58,0.983050847,5
Josaia Raisuqe,One Out Drive,3,7,2.333333333,6
Jules Plisson,One Out Drive,9,31,3.444444444,18
Julien Arias,One Out Drive,2,5,2.5,5
Julien Dupuy,One Out Drive,,,,
Karim Qadiri,One Out Drive,,,,
Laurent Panis,One Out Drive,6,3,0.5,2
Laurent Sempere,One Out Drive,26,20,0.769230769,5
Mathieu De Giovanni,One Out Drive,4,,,
Mathieu Ugena,One Out Drive,8,7,0.875,3
Meyer Bosman,One Out Drive,10,16,1.6,5
Morne Steyn,One Out Drive,,,,
Pascal Papé,One Out Drive,15,15,1,4
Patrick Sio,One Out Drive,6,9,1.5,3
Paul Alo-Emile,One Out Drive,24,19,0.791666667,5
Paul Gabrillagues,One Out Drive,81,62,0.765432099,15
Paul Williams,One Out Drive,9,11,1.222222222,5
Rabah Slimani,One Out Drive,23,10,0.434782609,3
Raphael Lakafia,One Out Drive,43,47,1.093023256,8
Ratu Ratini,One Out Drive,2,6,3,4
Remi Seneca,One Out Drive,1,,,
Remy Bonfils,One Out Drive,14,4,0.285714286,4
Sakaria Taulafo,One Out Drive,14,10,0.714285714,5
Sekou Macalou,One Out Drive,14,15,1.071428571,5
Sergio Parisse,One Out Drive,42,50,1.19047619,5
Sylvain Nicolas,One Out Drive,13,25,1.923076923,9
Theo Millet,One Out Drive,1,2,2,2
Waisea Nayacalevu,One Out Drive,6,34,5.666666667,11
Will Genia,One Out Drive,,,,
Willem Alberts,One Out Drive,20,29,1.45,8
Zurabi Zhvania,One Out Drive,6,17,2.833333333,12
Abdellatif Boutaty,Other Carry,5,,,
Aled De Malmanche,Other Carry,10,15,1.5,6
Alexandre Flanquart,Other Carry,11,19,1.727272727,9
Antoine Burban,Other Carry,30,96,3.2,12
Arthur Coville,Other Carry,,,,
Benjamin Epsinal,Other Carry,1,,,
Clement Daguin,Other Carry,10,40,4,15
Craig Burden,Other Carry,13,47,3.615384615,13
Djibril Camara,Other Carry,38,280,7.368421053,41
Emmanuel Felsina,Other Carry,5,14,2.8,5
Etienne Swanepoel,Other Carry,,,,
Geoffrey Doumayrou,Other Carry,91,338,3.714285714,31
Gerhard Mostert,Other Carry,3,,,
Giorgi Melikidze,Other Carry,5,6,1.2,3
Heinke Van der Merwe,Other Carry,12,16,1.333333333,6
Hugh Pyle,Other Carry,44,100,2.272727273,12
Hugo Bonneval,Other Carry,99,664,6.707070707,42
Jean Baptiste De Clercq,Other Carry,,,,
Jeremy Sinzelle,Other Carry,80,536,6.7,37
Jonathan Danty,Other Carry,62,189,3.048387097,35
Jonathan Ross,Other Carry,47,163,3.468085106,14
Josaia Raisuqe,Other Carry,8,67,8.375,29
Jules Plisson,Other Carry,37,110,2.972972973,17
Julien Arias,Other Carry,38,163,4.289473684,32
Julien Dupuy,Other Carry,3,24,8,24
Karim Qadiri,Other Carry,2,7,3.5,7
Laurent Panis,Other Carry,7,13,1.857142857,6
Laurent Sempere,Other Carry,13,23,1.769230769,8
Mathieu De Giovanni,Other Carry,2,2,1,2
Mathieu Ugena,Other Carry,3,4,1.333333333,2
Meyer Bosman,Other Carry,42,93,2.214285714,18
Morne Steyn,Other Carry,8,12,1.5,6
Pascal Papé,Other Carry,5,3,0.6,3
Patrick Sio,Other Carry,6,20,3.333333333,15
Paul Alo-Emile,Other Carry,17,32,1.882352941,16
Paul Gabrillagues,Other Carry,34,92,2.705882353,15
Paul Williams,Other Carry,58,222,3.827586207,15
Rabah Slimani,Other Carry,12,30,2.5,7
Raphael Lakafia,Other Carry,37,136,3.675675676,20
Ratu Ratini,Other Carry,8,90,11.25,34
Remi Seneca,Other Carry,,,,
Remy Bonfils,Other Carry,21,52,2.476190476,10
Sakaria Taulafo,Other Carry,7,21,3,8
Sekou Macalou,Other Carry,28,202,7.214285714,43
Sergio Parisse,Other Carry,70,316,4.514285714,55
Sylvain Nicolas,Other Carry,32,101,3.15625,18
Theo Millet,Other Carry,33,83,2.515151515,11
Waisea Nayacalevu,Other Carry,81,658,8.12345679,44
Will Genia,Other Carry,28,128,4.571428571,26
Willem Alberts,Other Carry,30,119,3.966666667,20
Zurabi Zhvania,Other Carry,8,29,3.625,15
Abdellatif Boutaty,Support Carry,,,,
Aled De Malmanche,Support Carry,3,,,5
Alexandre Flanquart,Support Carry,3,,,9
Antoine Burban,Support Carry,3,,,8
Arthur Coville,Support Carry,,,,
Benjamin Epsinal,Support Carry,,,,
Clement Daguin,Support Carry,6,,,26
Craig Burden,Support Carry,2,,,6
Djibril Camara,Support Carry,4,,,19
Emmanuel Felsina,Support Carry,2,,,2
Etienne Swanepoel,Support Carry,,,,
Geoffrey Doumayrou,Support Carry,8,,,23
Gerhard Mostert,Support Carry,,,,
Giorgi Melikidze,Support Carry,2,,,15
Heinke Van der Merwe,Support Carry,3,,,10
Hugh Pyle,Support Carry,5,,,6
Hugo Bonneval,Support Carry,11,,,31
Jean Baptiste De Clercq,Support Carry,,,,
Jeremy Sinzelle,Support Carry,8,,,28
Jonathan Danty,Support Carry,7,,,11
Jonathan Ross,Support Carry,7,,,17
Josaia Raisuqe,Support Carry,2,,,17
Jules Plisson,Support Carry,3,,,4
Julien Arias,Support Carry,5,,,24
Julien Dupuy,Support Carry,3,,,9
Karim Qadiri,Support Carry,2,,,12
Laurent Panis,Support Carry,1,,,
Laurent Sempere,Support Carry,,,,
Mathieu De Giovanni,Support Carry,,,,
Mathieu Ugena,Support Carry,1,,,2
Meyer Bosman,Support Carry,5,,,17
Morne Steyn,Support Carry,2,,,4
Pascal Papé,Support Carry,4,,,2
Patrick Sio,Support Carry,,,,
Paul Alo-Emile,Support Carry,1,,,2
Paul Gabrillagues,Support Carry,2,,,3
Paul Williams,Support Carry,2,,,30
Rabah Slimani,Support Carry,3,,,40
Raphael Lakafia,Support Carry,9,,,7
Ratu Ratini,Support Carry,,,,
Remi Seneca,Support Carry,,,,
Remy Bonfils,Support Carry,1,,,10
Sakaria Taulafo,Support Carry,3,,,4
Sekou Macalou,Support Carry,3,,,43
Sergio Parisse,Support Carry,10,,,11
Sylvain Nicolas,Support Carry,7,,,18
Theo Millet,Support Carry,5,,,6
Waisea Nayacalevu,Support Carry,18,,,37
Will Genia,Support Carry,5,,,36
Willem Alberts,Support Carry,3,,,8
Zurabi Zhvania,Support Carry,,,,
Abdellatif Boutaty,Kick Return,,,,
Aled De Malmanche,Kick Return,1,10,10,10
Alexandre Flanquart,Kick Return,,,,
Antoine Burban,Kick Return,1,8,8,8
Arthur Coville,Kick Return,,,,
Benjamin Epsinal,Kick Return,,,,
Clement Daguin,Kick Return,3,,,
Craig Burden,Kick Return,1,17,17,17
Djibril Camara,Kick Return,11,195,17.72727273,41
Emmanuel Felsina,Kick Return,,,,
Etienne Swanepoel,Kick Return,,,,
Geoffrey Doumayrou,Kick Return,11,63,5.727272727,14
Gerhard Mostert,Kick Return,,,,
Giorgi Melikidze,Kick Return,,,,
Heinke Van der Merwe,Kick Return,,,,
Hugh Pyle,Kick Return,2,2,1,2
Hugo Bonneval,Kick Return,53,401,7.566037736,47
Jean Baptiste De Clercq,Kick Return,,,,
Jeremy Sinzelle,Kick Return,25,195,7.8,24
Jonathan Danty,Kick Return,,,,
Jonathan Ross,Kick Return,5,29,5.8,15
Josaia Raisuqe,Kick Return,4,90,22.5,41
Jules Plisson,Kick Return,17,108,6.352941176,18
Julien Arias,Kick Return,15,99,6.6,17
Julien Dupuy,Kick Return,1,,,
Karim Qadiri,Kick Return,1,8,8,8
Laurent Panis,Kick Return,,,,
Laurent Sempere,Kick Return,,,,
Mathieu De Giovanni,Kick Return,,,,
Mathieu Ugena,Kick Return,,,,
Meyer Bosman,Kick Return,7,55,7.857142857,19
Morne Steyn,Kick Return,12,53,4.416666667,10
Pascal Papé,Kick Return,,,,
Patrick Sio,Kick Return,,,,
Paul Alo-Emile,Kick Return,,,,
Paul Gabrillagues,Kick Return,1,,,
Paul Williams,Kick Return,10,91,9.1,17
Rabah Slimani,Kick Return,,,,
Raphael Lakafia,Kick Return,1,9,9,9
Ratu Ratini,Kick Return,1,9,9,9
Remi Seneca,Kick Return,,,,
Remy Bonfils,Kick Return,,,,
Sakaria Taulafo,Kick Return,,,,
Sekou Macalou,Kick Return,3,16,5.333333333,11
Sergio Parisse,Kick Return,9,60,6.666666667,20
Sylvain Nicolas,Kick Return,3,5,1.666666667,3
Theo Millet,Kick Return,2,28,14,16
Waisea Nayacalevu,Kick Return,14,167,11.92857143,34
Will Genia,Kick Return,13,72,5.538461538,17
Willem Alberts,Kick Return,,,,
Zurabi Zhvania,Kick Return,,,,
Abdellatif Boutaty,Total,13,5,0.384615385,
Aled De Malmanche,Total,38,65,1.710526316,
Alexandre Flanquart,Total,31,57,1.838709677,
Antoine Burban,Total,56,159,2.839285714,
Arthur Coville,Total,1,,,
Benjamin Epsinal,Total,1,,,
Clement Daguin,Total,25,148,5.92,
Craig Burden,Total,27,137,5.074074074,
Djibril Camara,Total,59,546,9.254237288,
Emmanuel Felsina,Total,35,58,1.657142857,
Etienne Swanepoel,Total,1,,,
Geoffrey Doumayrou,Total,121,486,4.016528926,
Gerhard Mostert,Total,4,,,
Giorgi Melikidze,Total,14,36,2.571428571,
Heinke Van der Merwe,Total,40,44,1.1,
Hugh Pyle,Total,120,225,1.875,
Hugo Bonneval,Total,168,1226,7.297619048,
Jean Baptiste De Clercq,Total,1,,,
Jeremy Sinzelle,Total,123,833,6.772357724,
Jonathan Danty,Total,85,269,3.164705882,
Jonathan Ross,Total,124,303,2.443548387,
Josaia Raisuqe,Total,17,182,10.70588235,
Jules Plisson,Total,68,267,3.926470588,
Julien Arias,Total,68,355,5.220588235,
Julien Dupuy,Total,35,121,3.457142857,
Karim Qadiri,Total,5,38,7.6,
Laurent Panis,Total,14,16,1.142857143,
Laurent Sempere,Total,43,51,1.186046512,
Mathieu De Giovanni,Total,6,2,0.333333333,
Mathieu Ugena,Total,13,13,1,
Meyer Bosman,Total,64,197,3.078125,
Morne Steyn,Total,22,69,3.136363636,
Pascal Papé,Total,31,39,1.258064516,
Patrick Sio,Total,13,29,2.230769231,
Paul Alo-Emile,Total,45,54,1.2,
Paul Gabrillagues,Total,127,177,1.393700787,
Paul Williams,Total,81,362,4.469135802,
Rabah Slimani,Total,38,83,2.184210526,
Raphael Lakafia,Total,94,230,2.446808511,
Ratu Ratini,Total,12,105,8.75,
Remi Seneca,Total,1,,,
Remy Bonfils,Total,42,78,1.857142857,
Sakaria Taulafo,Total,25,41,1.64,
Sekou Macalou,Total,53,294,5.547169811,
