Team,ForAgainst,Points,Tries,Penalty Goals,Conversions,Drop Goals,MissedGoals,Goal Kicking %,Carries,Metres,Clean Breaks,Defenders Beaten,Offloads,Passes,Kicks from Hand,Tackles,Missed Tackles,Tackling Success %,Penalties Conceded,Yellow Cards,Red Cards,Turnovers Conceded,Turnovers Won,Lineouts Won,Lineouts Lost,Lineout Success %,Lineout Steals,Scrums Won,Scrums Lost,Scrum Success %,Scrum Steals,Rucks Won,Rucks Lost,Ruck Success %,Ave Time in Possession
Bayonne,For,17.9,1.6,2.4,1.3,0.1,1.2,76%,95.4,344.7,5.6,14.3,10,119.6,17.6,104.1,20.3,84%,11.8,0.7,0.1,13.5,5.7,11.3,2.8,80%,1.4,5.9,1.3,81%,0.1,66.5,3.3,95%,15:10
Bordeaux Begles,For,21.9,1.9,2.9,1.6,0.1,1.4,76%,109.6,424.5,6.5,16.6,11.9,133.3,18.7,119.9,16.2,88%,11.7,0.8,0.1,13,5.2,10.3,2.1,83%,1.5,4.6,1.1,81%,0.2,75.5,3.5,96%,15:34
Brive,For,22.2,1.6,3.8,1.4,0.1,1,83%,96.2,343.2,4.6,14,11.2,103,19.9,95.6,18.9,83%,12.8,1.1,0.1,12.6,5.8,9.9,2.1,82%,1.8,5.7,1.5,79%,0.2,67.5,3,96%,15:28
Castres,For,25.5,2.5,3,2,0.1,1.6,75%,103,418.7,6,18.9,10.1,114.1,19.3,107.3,16.6,87%,11.7,0.8,0.1,13.7,5.5,8.4,2.3,79%,1.9,5.5,1.1,83%,0.4,71.5,2.8,96%,16:24
Clermont Auvergne,For,30.7,3.3,3,2.5,0.1,1.9,74%,99.3,426.7,7.3,18.3,11,124.3,19.4,111.9,20.4,85%,10.6,0.7,0.1,12.7,6.6,10.4,2.2,83%,1.9,5.3,1,85%,0.1,67.3,2.6,96%,14:43
Grenoble,For,23.5,2.2,2.7,1.8,0.2,0.9,84%,99,384.2,6.6,15.9,11.2,136.2,16.2,110.2,18.7,86%,11.9,1,0.1,12.7,4.7,11.3,2.1,84%,1.5,3.9,2,66%,0.4,68.5,2.9,96%,15:19
La Rochelle,For,26.7,2.5,3.3,2.1,0.1,1.4,79%,112,389.1,6.5,20.3,11.6,131.3,17.6,99.5,15,87%,9.9,0.7,0,12.1,6.2,11.8,2,85%,1.8,4.6,1,82%,0.1,83.4,3.7,96%,17:21
Lyon,For,22,2.1,2.7,1.7,0,1.3,78%,98.9,346.5,4.3,13.6,9.8,115.1,18.3,104.5,17,86%,11.9,0.7,0,13,4.9,12,1.4,90%,1.7,5.3,1.2,81%,0.2,68.5,3.4,95%,15:40
Montpellier,For,28.3,3,2.7,2.5,0,0.9,85%,94,370,5.6,17.6,10.6,103.8,20.4,110.9,14.7,88%,12.3,0.9,0,13.6,5.1,9.9,2,83%,1.9,5.4,1,84%,0.1,64.7,2.8,96%,14:41
Pau,For,23.2,2.2,2.9,1.7,0,1.1,80%,109.7,379.8,6.2,17.2,12.1,146.7,15.9,95.3,17.6,84%,11.8,0.8,0,12,4.8,10.4,2.2,82%,1,4.8,1.4,77%,0.2,78.5,3.1,96%,16:06
