Player,Position,Country,PreviousPlayer,FirstProper
Alexandre Flanquart,Lock,France ,Y,Alexandre 
Antoine Burban,Flanker,France ,Y,Antoine 
Arthur Coville,Scrum-half,France ,Y,Arthur 
Bakary Meite,Flanker,Ivory ,N,Bakary 
Clement Daguin,Scrum-half,France ,Y,Clement 
Craig Burden,Hooker,South ,Y,Craig 
Djibril Camara,Fullback,France ,Y,Djibril 
Elies El Ansari,Prop,France ,N,Elies 
Emmanuel Felsina,Prop,France ,Y,Emmanuel 
George Pisi,Centre,Samoa ,N,George 
Heinke Van der Merwe,Prop,South ,Y,Heinke 
Hugh Pyle,Lock,Australia ,Y,Hugh 
Jimmy Yobo,Centre,France ,N,Jimmy 
Jonathan Danty,Centre,France ,Y,Jonathan 
Jules Plisson,Fly-half,France ,Y,Jules 
Julien Arias,Wing,France ,Y,Julien 
Laurent Panis,Hooker,France ,Y,Laurent 
Laurent Sempere,Hooker,France ,Y,Laurent 
Lorenzo Cittadini,Prop,Italy ,N,Lorenzo 
Meyer Bosman,Fly-half,South ,Y,Meyer 
Morne Steyn,Fly-half,South ,Y,Morne 
Paul Alo-Emile,Prop,Samoa ,Y,Paul 
Paul Gabrillagues,Lock,France ,Y,Paul 
Paul Williams,Centre,Samoa ,Y,Paul 
Remi Bonfils,Hooker,France ,N,Remi 
Romain Martial,Wing,France ,N,Romain 
Sakaria Taulafo,Prop,Samoa ,Y,Sakaria 
Sergio Parisse,Flanker,Italy ,Y,Sergio 
Simone Favaro,Flanker,Italy ,N,Simone 
Steevy Cerqueira,Lock,France ,N,Steevy 
Sylvain Nicolas,Flanker,France ,Y,Sylvain 
Terry Bouhraoua,Scrum-half,France ,N,Terry 
Tony Ensor,Fullback,New Zealand,N,Tony 
Waisea Nayacalevu,Wing,Fiji ,Y,Waisea 
Willem Alberts,Flanker,South ,Y,Willem 
Zurabi Zhvania,Prop,Georgia ,N,Zurabi 
