Player,NameFirst,NameLast,Starts,Subs,Total Mins,Min Mins,Max Mins,Av Mins
Abdellatif Boutaty,Abdellatif,Boutaty,2,4,200,0,80,33.33333333
Aled De Malmanche,Aled,De Malmanche,0,10,222,13,40,22.2
Alexandre Flanquart,Alexandre,Flanquart,5,4,356,9,80,39.55555556
Antoine Burban,Antoine,Burban,11,4,752,21,80,50.13333333
Arthur Coville,Arthur,Coville,0,3,24,0,14,8
Benjamin Epsinal,Benjamin,Epsinal,0,1,13,13,13,13
Clement Daguin,Clement,Daguin,4,15,391,0,80,20.57894737
Craig Burden,Craig,Burden,4,6,301,13,70,30.1
Djibril Camara,Djibril,Camara,10,1,635,21,80,57.72727273
Emmanuel Felsina,Emmanuel,Felsina,5,2,316,18,67,45.14285714
Etienne Swanepoel,Etienne,Swanepoel,1,1,49,19,30,24.5
Geoffrey Doumayrou,Geoffrey,Doumayrou,16,2,1101,2,80,61.16666667
Gerhard Mostert,Gerhard,Mostert,0,1,21,21,21,21
Giorgi Melikidze,Giorgi,Melikidze,2,13,287,0,67,19.13333333
Heinke Van der Merwe,Heinke,Van der Merwe,15,2,936,28,73,55.05882353
Hugh Pyle,Hugh,Pyle,19,3,1454,0,80,66.09090909
Hugo Bonneval,Hugo,Bonneval,20,2,1621,15,80,73.68181818
Jean Baptiste De Clercq,Jean Baptiste,De Clercq,0,1,10,10,10,10
Jeremy Sinzelle,Jeremy,Sinzelle,16,6,1407,7,80,63.95454545
Jonathan Danty,Jonathan,Danty,12,2,897,15,80,64.07142857
Jonathan Ross,Jonathan,Ross,14,0,911,13,80,65.07142857
Josaia Raisuqe,Josaia,Raisuqe,3,2,254,4,80,50.8
Jules Plisson,Jules,Plisson,15,5,1210,0,80,60.5
Julien Arias,Julien,Arias,9,8,823,0,80,48.41176471
Julien Dupuy,Julien,Dupuy,10,8,783,0,80,43.5
Karim Qadiri,Karim,Qadiri,1,0,54,54,54,54
Laurent Panis,Laurent,Panis,3,8,375,16,62,34.09090909
Laurent Sempere,Laurent,Sempere,13,4,821,18,64,48.29411765
Mathieu De Giovanni,Mathieu,De Giovanni,0,10,120,0,32,12
Mathieu Ugena,Mathieu,Ugena,1,2,197,57,73,65.66666667
Meyer Bosman,Meyer,Bosman,9,4,858,8,80,66
Morne Steyn,Morne,Steyn,6,8,491,4,80,35.07142857
Pascal Papé,Pascal,Papé,4,9,345,0,80,26.53846154
Patrick Sio,Patrick,Sio,1,1,89,23,66,44.5
Paul Alo-Emile,Paul,Alo-Emile,8,3,566,23,80,51.45454545
Paul Gabrillagues,Paul,Gabrillagues,22,2,1710,26,80,71.25
Paul Williams,Paul,Williams,10,3,813,12,80,62.53846154
Rabah Slimani,Rabah,Slimani,13,4,951,29,80,55.94117647
Raphael Lakafia,Raphael,Lakafia,13,3,985,0,80,61.5625
Ratu Ratini,Ratu,Ratini,3,0,163,38,71,54.33333333
Remi Seneca,Remi,Seneca,0,2,28,0,28,14
Remy Bonfils,Remy,Bonfils,6,7,564,17,67,43.38461538
Sakaria Taulafo,Sakaria,Taulafo,3,6,297,13,72,33
Sekou Macalou,Sekou,Macalou,8,7,664,12,80,44.26666667
Sergio Parisse,Sergio,Parisse,11,2,876,17,80,67.38461538
Sylvain Nicolas,Sylvain,Nicolas,13,3,1011,14,80,63.1875
Theo Millet,Theo,Millet,7,1,504,0,80,63
Waisea Nayacalevu,Waisea,Nayacalevu,18,2,1502,26,80,75.1
Will Genia,Will,Genia,12,0,872,59,80,72.66666667
Willem Alberts,Willem,Alberts,7,3,568,18,80,56.8
Zurabi Zhvania,Zurabi,Zhvania,5,8,483,14,71,37.15384615
