FrenchName,player-href,Player,DOB,HeightWeight,Arrived,PriorTeams,Nationality,image-src,OnSite
"Alexandre
                                            FLANQUART                                        
                                        Deuxième ligne",http://www.stade.fr/club/effectif-pro/7-alexandre-flanquart,Alexandre Flanquart,1989-10-09,204 cm / 120 kg,2009,2009 à aujourd'hui / Stade Français Paris,France,http://www.stade.fr/medias/resized/flanquart_1950542493.jpg,Y
"Antoine
                                            BURBAN                                        
                                        Troisième ligne aile",http://www.stade.fr/club/effectif-pro/8-antoine-burban,Antoine Burban,1987-07-22,189 cm / 109 kg,"2006 / PUC
2006 à aujourd'hui / Stade Français Paris",2006 à aujourd'hui - Stade Français Paris,France,http://www.stade.fr/medias/resized/burban_1364012198.jpg,Y
"Bakary
                                            MÉITÉ                                        
                                        Troisième ligne aile",http://www.stade.fr/club/effectif-pro/88-bakary-meite,Bakary Meite,1983-09-30,191 cm / 98 kg,2017,2015 / 2017 : Béziers,France,http://www.stade.fr/medias/resized/meite02-jersey_1482087420.jpg,Y
"Charl
                                            MCLEOD                                        
                                        Demi de mêlée",http://www.stade.fr/club/effectif-pro/87-charl-mcleod,Charl MCLEOD,1983-08-05,180 cm / 85 kg,2017,2014 / 2017 : Grenoble,Afrique du Sud,http://www.stade.fr/medias/resized/mc-leod-jersey_1944426546.jpg,Y
"Clément
                                            DAGUIN                                        
                                        Demi de mêlée",http://www.stade.fr/club/effectif-pro/74-clement-daguin,Clement Daguin,1992-05-25,177 cm / 84 kg,2013,"2013 à 2014 / Stade Français Paris
2014 à 2015 / Massy 
2015 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/daguin_781913046.jpg,Y
"Craig
                                            BURDEN                                        
                                        Talonneur",http://www.stade.fr/club/effectif-pro/76-craig-burden,Craig Burden,1985-05-13,184 cm / 105 kg,2016,"2006 à 2013 / Natal Sharks
2006 à 2013 / Sharks
2013 à 2015 / RC Toulon
2015 à 2016 / Montpellier HR
2016 à aujourd'hui / Stade Français Paris",Afrique du Sud,http://www.stade.fr/medias/resized/burden_437611992.jpg,Y
"Djibril
                                            CAMARA                                        
                                        Arrière",http://www.stade.fr/club/effectif-pro/13-djibril-camara,Djibril Camara,1989-06-22,181 cm / 92 kg,2003,2003 à aujourd'hui / Stade Français Paris,France,http://www.stade.fr/medias/resized/camara_1724356089.jpg,Y
"Emmanuel
                                            FELSINA                                        
                                        Pilier gauche",http://www.stade.fr/club/effectif-pro/72-emmanuel-felsina,Emmanuel Felsina,1985-02-22,190 cm / 133 kg,2015,"2009 à 2011 / Massy
2011 à 2012 / Provence Rugby 
2013 à 2014 / RC Toulon
2014 à 2015 / Lyon OU
2015 à aujourd'hui / Stade Français Paris",France,http://www.stade.fr/medias/resized/felsina_207441945.jpg,Y
"Heinke
                                            VAN DER MERWE                                        
                                        Pilier gauche",http://www.stade.fr/club/effectif-pro/61-heinke-van-der-merwe,Heinke Van der Merwe,1985-05-03,183 cm / 111 kg,2013-2014,"Leinster, Lions, Sharks",Afrique du Sud,http://www.stade.fr/medias/resized/van-der-merwe_1900779680.jpg,Y
"Hugh
                                            PYLE                                        
                                        Deuxième ligne",http://www.stade.fr/club/effectif-pro/66-hugh-pyle,Hugh Pyle,1988-09-21,201 cm / 116 kg,2014-2015,Rebels (2011-2014),Australie,http://www.stade.fr/medias/resized/pyle_293116700.jpg,Y
