Player,Type,Effective,Ineffective,Error,Total Offloads
Abdellatif Boutaty,Offloads,1,2,,3
Aled De Malmanche,Offloads,,1,,1
Alexandre Flanquart,Offloads,5,,,5
Antoine Burban,Offloads,3,,,3
Arthur Coville,Offloads,1,,,1
Benjamin Epsinal,Offloads,,,,0
Clement Daguin,Offloads,3,,,3
Craig Burden,Offloads,4,4,1,9
Djibril Camara,Offloads,3,,1,4
Emmanuel Felsina,Offloads,2,,,2
Etienne Swanepoel,Offloads,,,,0
Geoffrey Doumayrou,Offloads,14,1,1,16
Gerhard Mostert,Offloads,,,,0
Giorgi Melikidze,Offloads,,,,0
Heinke Van der Merwe,Offloads,,,,0
Hugh Pyle,Offloads,20,4,,24
Hugo Bonneval,Offloads,10,1,4,15
Jean Baptiste De Clercq,Offloads,,,,0
Jeremy Sinzelle,Offloads,13,1,,14
Jonathan Danty,Offloads,16,2,3,21
Jonathan Ross,Offloads,8,4,,12
Josaia Raisuqe,Offloads,6,1,,7
Jules Plisson,Offloads,8,,1,9
Julien Arias,Offloads,7,1,1,9
Julien Dupuy,Offloads,2,2,,4
Karim Qadiri,Offloads,1,,,1
Laurent Panis,Offloads,1,,,1
Laurent Sempere,Offloads,2,,,2
Mathieu De Giovanni,Offloads,1,,1,2
Mathieu Ugena,Offloads,,,,0
Meyer Bosman,Offloads,12,1,1,14
Morne Steyn,Offloads,1,,,1
Pascal Papé,Offloads,3,1,,4
Patrick Sio,Offloads,1,,,1
Paul Alo-Emile,Offloads,,,,0
Paul Gabrillagues,Offloads,4,,,4
Paul Williams,Offloads,17,4,2,23
Rabah Slimani,Offloads,3,2,,5
Raphael Lakafia,Offloads,6,1,1,8
Ratu Ratini,Offloads,,,,0
Remi Seneca,Offloads,,,,0
Remy Bonfils,Offloads,1,,,1
Sakaria Taulafo,Offloads,1,1,,2
Sekou Macalou,Offloads,7,,,7
Sergio Parisse,Offloads,5,5,,10
Sylvain Nicolas,Offloads,4,,,4
Theo Millet,Offloads,5,2,1,8
Waisea Nayacalevu,Offloads,7,1,,8
Will Genia,Offloads,7,1,,8
Willem Alberts,Offloads,2,1,,3
Zurabi Zhvania,Offloads,1,,,1
