Player,Turnover Won,Try Saver,Sack,Other Complete,Passive,Offload Allowed
Abdellatif Boutaty,3,,1,36,1,2
Aled De Malmanche,1,,,23,2,1
Alexandre Flanquart,2,,2,41,4,4
Antoine Burban,6,,5,88,10,11
Arthur Coville,,,,1,1,
Benjamin Epsinal,,,,1,,
Clement Daguin,,,,9,4,9
Craig Burden,,,,24,15,5
Djibril Camara,5,,2,23,,2
Emmanuel Felsina,,,1,17,3,7
Etienne Swanepoel,,,,6,1,2
Geoffrey Doumayrou,2,,9,92,11,19
Gerhard Mostert,,,,,,
Giorgi Melikidze,,,2,29,3,8
Heinke Van der Merwe,2,,1,91,14,10
Hugh Pyle,7,,4,111,20,13
Hugo Bonneval,1,,2,29,2,5
Jean Baptiste De Clercq,,,,,,
Jeremy Sinzelle,4,,2,45,11,12
Jonathan Danty,3,1,1,73,12,14
Jonathan Ross,2,1,13,126,17,20
Josaia Raisuqe,3,,1,8,1,3
Jules Plisson,4,,1,44,11,21
Julien Arias,1,1,2,28,4,8
Julien Dupuy,,,,11,3,2
Karim Qadiri,1,,,1,,
Laurent Panis,1,,,56,5,8
Laurent Sempere,2,,,84,8,16
Mathieu De Giovanni,,,,22,3,2
Mathieu Ugena,1,,2,24,2,1
Meyer Bosman,7,,2,49,14,15
Morne Steyn,1,,2,38,7,2
Pascal Papé,4,,,24,4,1
Patrick Sio,,,,12,1,3
Paul Alo-Emile,1,,2,62,8,6
Paul Gabrillagues,5,,9,244,17,15
Paul Williams,5,,1,54,4,12
Rabah Slimani,6,,6,85,10,13
Raphael Lakafia,3,,6,133,15,18
Ratu Ratini,,,,4,1,
Remi Seneca,,,,2,1,
Remy Bonfils,3,,2,92,16,3
Sakaria Taulafo,,,,19,4,4
Sekou Macalou,5,,3,72,8,10
Sergio Parisse,5,,1,63,12,14
Sylvain Nicolas,5,,7,105,11,28
Theo Millet,2,,,41,13,12
Waisea Nayacalevu,7,,5,67,5,15
Will Genia,4,1,,22,7,13
Willem Alberts,5,,2,66,5,3
Zurabi Zhvania,,,2,28,5,3
