Player,Tackled,Clean Break,Try Scored
Abdellatif Boutaty,3,1,
Aled De Malmanche,,1,
Alexandre Flanquart,3,1,1
Antoine Burban,5,,
Arthur Coville,,,
Benjamin Epsinal,,,
Clement Daguin,1,5,3
Craig Burden,1,1,
Djibril Camara,,1,
Emmanuel Felsina,1,,
Etienne Swanepoel,,,
Geoffrey Doumayrou,10,1,
Gerhard Mostert,1,,
Giorgi Melikidze,1,4,
Heinke Van der Merwe,5,4,
Hugh Pyle,10,4,1
Hugo Bonneval,5,3,1
Jean Baptiste De Clercq,,,1
Jeremy Sinzelle,6,5,2
Jonathan Danty,8,3,1
Jonathan Ross,15,5,1
Josaia Raisuqe,3,,
Jules Plisson,22,1,4
Julien Arias,4,3,6
Julien Dupuy,8,2,1
Karim Qadiri,,,
Laurent Panis,3,,1
Laurent Sempere,3,2,
Mathieu De Giovanni,3,,
Mathieu Ugena,4,,
Meyer Bosman,7,6,
Morne Steyn,5,1,
Pascal Papé,6,,
Patrick Sio,1,1,
Paul Alo-Emile,8,2,2
Paul Gabrillagues,8,,
Paul Williams,5,1,
Rabah Slimani,10,3,1
Raphael Lakafia,1,3,1
Ratu Ratini,3,,1
Remi Seneca,,,
Remy Bonfils,5,1,1
Sakaria Taulafo,4,,1
Sekou Macalou,4,4,
Sergio Parisse,15,,2
Sylvain Nicolas,11,,2
Theo Millet,5,1,2
Waisea Nayacalevu,19,5,5
Will Genia,4,3,1
Willem Alberts,14,1,1
Zurabi Zhvania,5,1,1
